EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome(KM),Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,HourlyRate,NumCompaniesWorked,Over18,OverTime,SalaryHike %,PerformanceRating,RelationshipSatisfaction,StandardWorkingHours,StockOptionLevel,TotalExperience(Years),TrainingsLastYear,WorkLifeBalance,YearsatCompany,YearsinCurrentRole,YearsSincePromotion,YearsWithCurrManager
VK0870,23,18-25,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,3,1,Sales Representative,1,Single,"₹ 93,067",10+ LPA,581.67,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
VK3460,23,18-25,No,Travel_Rarely,1309,Administration,26,1,Life Sciences,1,465,3,Male,3,1,Research Scientist,4,Single,"₹ 68,121",6-10 LPA,425.76,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2
VK5170,23,18-25,No,Travel_Rarely,885,Administration,4,3,Medical,1,705,1,Male,4,1,Research Scientist,1,Married,"₹ 70,479",6-10 LPA,440.49,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2
VK5510,23,18-25,No,Travel_Rarely,650,Administration,9,1,Medical,1,758,2,Male,3,1,Laboratory Technician,1,Married,"₹ 90,475",10+ LPA,565.47,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2
VK5660,23,18-25,No,Travel_Rarely,310,Administration,10,1,Medical,1,784,1,Male,4,1,Research Scientist,3,Single,"₹ 20,457",0-3 LPA,127.86,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2
VK5860,23,18-25,Yes,Travel_Rarely,1243,Administration,6,3,Life Sciences,1,811,3,Male,4,1,Laboratory Technician,1,Married,"₹ 67,557",6-10 LPA,422.23,1,Y,Yes,21,4,3,80,2,1,2,3,0,0,0,0
VK9110,23,18-25,No,Travel_Rarely,373,Administration,1,2,Life Sciences,1,1270,4,Male,3,1,Research Scientist,3,Married,"₹ 78,189",6-10 LPA,488.68,1,Y,No,22,4,4,80,1,1,2,3,1,0,0,1
VK10830,23,18-25,No,Travel_Rarely,507,Administration,20,1,Life Sciences,1,1533,1,Male,3,2,Laboratory Technician,3,Single,"₹ 79,953",6-10 LPA,499.71,0,Y,No,14,3,2,80,0,5,2,3,4,3,1,2
VK11280,23,18-25,No,Travel_Rarely,977,Administration,10,3,Technical Degree,1,1592,4,Male,4,1,Research Scientist,3,Married,"₹ 53,995",6-10 LPA,337.47,2,Y,No,16,3,4,80,1,4,2,3,2,2,2,2
VK12020,23,18-25,Yes,Travel_Rarely,1320,Administration,8,1,Medical,1,1684,4,Male,2,1,Laboratory Technician,3,Single,"₹ 41,757",3-6 LPA,260.98,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,1,2
VK12140,23,18-25,Yes,Travel_Rarely,427,Sales,7,3,Life Sciences,1,1702,3,Male,3,1,Sales Representative,4,Single,"₹ 10,692",0-3 LPA,66.82,1,Y,Yes,21,4,2,80,1,3,2,3,3,2,0,2
VK12390,23,18-25,No,Travel_Rarely,160,Administration,4,1,Medical,1,1735,3,Female,3,1,Laboratory Technician,2,Single,"₹ 46,758",3-6 LPA,292.24,1,Y,No,13,3,3,80,0,3,3,1,3,2,1,2
VK14090,23,18-25,No,Travel_Rarely,571,Administration,12,2,Other,1,1982,4,Male,3,1,Laboratory Technician,4,Single,"₹ 73,409",6-10 LPA,458.81,1,Y,No,13,3,3,80,0,5,6,4,5,2,1,4
VK14390,23,18-25,Yes,Travel-Frequently,638,Sales,9,3,Marketing,1,2023,4,Male,3,1,Sales Representative,1,Married,"₹ 72,211",6-10 LPA,451.32,1,Y,No,19,3,1,80,1,1,3,2,1,0,1,0
VK0210,24,18-25,No,Non-Travel,673,Administration,11,2,Other,1,26,1,Female,4,2,Manufacturing Director,3,Single,"₹ 66,697",6-10 LPA,416.86,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
VK0350,24,18-25,Yes,Travel_Rarely,813,Administration,1,3,Medical,1,45,2,Male,3,1,Research Scientist,4,Married,"₹ 38,065",3-6 LPA,237.91,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
VK0970,24,18-25,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,3,2,Sales Executive,3,Married,"₹ 93,093",10+ LPA,581.83,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
VK1140,24,18-25,No,Travel_Rarely,1127,Administration,18,1,Life Sciences,1,150,2,Male,3,1,Laboratory Technician,3,Married,"₹ 33,606",3-6 LPA,210.04,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
VK3810,24,18-25,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,3,2,Sales Executive,3,Single,"₹ 12,534",0-3 LPA,78.34,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3
VK4150,24,18-25,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,3,1,Sales Representative,2,Single,"₹ 95,663",10+ LPA,597.89,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4
VK4750,23,18-25,Yes,Travel-Frequently,638,Sales,9,3,Marketing,1,2023,4,Male,3,1,Sales Representative,1,Married,"₹ 72,211",6-10 LPA,451.32,1,Y,No,19,3,1,80,1,1,3,2,1,0,1,1
VK4770,24,18-25,No,Travel_Rarely,691,Administration,23,3,Medical,1,639,2,Male,4,1,Research Scientist,4,Married,"₹ 92,387",10+ LPA,577.42,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4
VK4800,24,18-25,No,Travel_Rarely,823,Administration,17,2,Other,1,643,4,Male,2,1,Laboratory Technician,2,Married,"₹ 2,016",0-3 LPA,12.6,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0
VK5260,24,18-25,Yes,Travel-Frequently,1287,Administration,7,3,Life Sciences,1,647,1,Female,3,1,Laboratory Technician,3,Married,"₹ 90,789",10+ LPA,567.43,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2
VK5870,24,18-25,Yes,Travel_Rarely,693,Sales,3,2,Life Sciences,1,720,1,Female,3,2,Sales Executive,3,Single,"₹ 56,591",6-10 LPA,353.69,9,Y,No,14,3,1,80,0,4,3,3,2,2,2,0
VK6410,24,18-25,No,Non-Travel,1092,Administration,9,3,Life Sciences,1,812,3,Male,2,1,Laboratory Technician,2,Single,"₹ 90,812",10+ LPA,567.58,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0
VK7250,24,18-25,No,Non-Travel,1269,Administration,4,1,Life Sciences,1,888,1,Male,2,1,Laboratory Technician,4,Married,"₹ 24,247",0-3 LPA,151.54,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4
VK8420,24,18-25,No,Travel_Rarely,1206,Administration,17,1,Medical,1,1009,4,Female,2,2,Manufacturing Director,3,Single,"₹ 25,300",3-6 LPA,158.12,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2
VK8720,24,18-25,No,Travel_Rarely,477,Administration,24,3,Medical,1,1173,4,Male,3,1,Laboratory Technician,2,Single,"₹ 75,065",6-10 LPA,469.16,8,Y,No,22,4,4,80,0,6,2,3,4,3,1,2
VK10260,24,18-25,Yes,Travel_Rarely,984,Administration,17,2,Life Sciences,1,1219,4,Female,3,1,Laboratory Technician,2,Married,"₹ 83,798",10+ LPA,523.74,1,Y,No,13,3,1,80,1,1,3,1,1,0,0,0
VK10610,24,18-25,No,Travel_Rarely,1476,Sales,4,1,Medical,1,1445,4,Female,3,2,Sales Executive,3,Married,"₹ 10,268",0-3 LPA,64.18,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3
VK10620,24,18-25,Yes,Travel-Frequently,381,Administration,9,3,Medical,1,1494,2,Male,3,1,Laboratory Technician,1,Single,"₹ 87,807",10+ LPA,548.79,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0
VK10980,24,18-25,No,Non-Travel,830,Sales,13,2,Life Sciences,1,1495,4,Female,3,1,Sales Representative,2,Married,"₹ 13,185",0-3 LPA,82.41,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0
VK11690,24,18-25,No,Travel_Rarely,350,Administration,21,2,Technical Degree,1,1551,3,Male,2,1,Laboratory Technician,1,Single,"₹ 64,704",6-10 LPA,404.4,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0
VK12180,24,18-25,No,Travel-Frequently,567,Administration,2,1,Technical Degree,1,1646,1,Female,3,1,Research Scientist,4,Single,"₹ 87,779",10+ LPA,548.62,1,Y,Yes,13,3,3,80,0,6,2,3,6,3,1,3
VK12230,24,18-25,No,Travel_Rarely,581,Administration,9,3,Medical,1,1707,3,Male,4,1,Research Scientist,3,Married,"₹ 40,099",3-6 LPA,250.62,1,Y,No,16,3,4,80,1,5,1,3,5,3,0,4
VK12310,24,18-25,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,1,1714,4,Male,1,1,Human Resources,3,Married,"₹ 9,571",0-3 LPA,59.82,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0
VK12460,24,18-25,No,Travel_Rarely,506,Administration,29,1,Medical,1,1725,2,Male,3,1,Laboratory Technician,1,Single,"₹ 39,044",3-6 LPA,244.02,1,Y,No,13,3,2,80,3,6,2,4,6,2,1,2
VK14080,24,18-25,No,Travel-Frequently,897,Human Resources,10,3,Medical,1,1746,1,Male,3,1,Human Resources,4,Married,"₹ 52,214",6-10 LPA,326.34,0,Y,No,14,3,4,80,1,3,2,3,2,2,2,1
VK1080,24,18-25,No,Travel_Rarely,771,Administration,1,2,Life Sciences,1,1981,2,Male,2,2,Healthcare Representative,3,Single,"₹ 62,228",6-10 LPA,388.92,1,Y,No,12,3,2,80,0,4,2,2,4,3,1,2
VK1090,25,18-25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,2,2,Sales Executive,3,Single,"₹ 49,984",3-6 LPA,312.4,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
VK1390,25,18-25,No,Travel_Rarely,1280,Administration,7,1,Medical,1,143,4,Male,2,1,Research Scientist,4,Married,"₹ 41,774",3-6 LPA,261.09,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
VK2560,25,18-25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,2,2,Sales Executive,3,Married,"₹ 3,568",0-3 LPA,22.3,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,
VK2680,25,18-25,No,Travel_Rarely,685,Administration,1,3,Life Sciences,1,350,1,Female,3,2,Manufacturing Director,3,Married,"₹ 63,592",6-10 LPA,397.45,0,Y,No,12,3,4,80,2,5,3,3,4,2,1,
VK3980,25,18-25,No,Non-Travel,675,Administration,5,2,Life Sciences,1,369,2,Male,4,2,Healthcare Representative,1,Single,"₹ 68,563",6-10 LPA,428.52,1,Y,No,12,3,4,80,2,6,2,3,6,3,1,5
VK4060,25,18-25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,2,2,Sales Executive,4,Single,"₹ 3,695",0-3 LPA,23.09,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3
VK4790,25,18-25,Yes,Travel_Rarely,688,Administration,3,3,Medical,1,538,1,Male,3,1,Laboratory Technician,1,Married,"₹ 49,190",3-6 LPA,307.44,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,
VK5180,25,18-25,No,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,3,1,Sales Representative,3,Married,"₹ 6,258",0-3 LPA,39.11,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6
VK5640,25,18-25,No,Travel_Rarely,810,Sales,8,3,Life Sciences,1,707,4,Male,4,2,Sales Executive,2,Married,"₹ 88,538",10+ LPA,553.36,0,Y,No,22,4,3,80,1,4,4,3,3,2,1,2
VK6190,25,18-25,No,Travel_Rarely,883,Sales,26,1,Medical,1,781,3,Female,3,2,Sales Executive,4,Single,"₹ 40,504",3-6 LPA,253.15,1,Y,No,23,4,2,80,0,6,5,2,6,5,1,4
VK6350,25,18-25,No,Travel_Rarely,180,Administration,2,1,Medical,1,854,1,Male,4,1,Research Scientist,1,Single,"₹ 34,159",3-6 LPA,213.49,7,Y,No,13,3,3,80,0,6,3,2,4,3,0,1
VK6390,25,18-25,No,Travel_Rarely,141,Sales,3,1,Other,1,879,3,Male,3,2,Sales Executive,1,Married,"₹ 14,986",0-3 LPA,93.66,1,Y,Yes,18,3,4,80,0,5,3,3,5,3,0,3
VK6840,25,18-25,No,Travel_Rarely,583,Sales,4,1,Marketing,1,885,3,Male,2,2,Sales Executive,1,Married,"₹ 62,858",6-10 LPA,392.86,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3
VK7970,25,18-25,Yes,Travel_Rarely,867,Sales,19,2,Marketing,1,952,3,Male,2,1,Sales Representative,2,Married,"₹ 13,666",0-3 LPA,85.41,1,Y,Yes,18,3,3,80,3,1,2,3,1,0,0,0
VK8860,25,18-25,Yes,Travel_Rarely,1219,Administration,4,1,Technical Degree,1,1106,4,Male,3,1,Laboratory Technician,4,Married,"₹ 39,660",3-6 LPA,247.88,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6
VK9120,25,18-25,No,Travel_Rarely,1356,Sales,10,4,Life Sciences,1,1240,3,Male,3,2,Sales Executive,4,Single,"₹ 4,561",0-3 LPA,28.51,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1
VK9350,25,18-25,Yes,Travel-Frequently,599,Sales,24,1,Life Sciences,1,1273,3,Male,1,1,Sales Representative,4,Single,"₹ 27,854",3-6 LPA,174.09,1,Y,Yes,14,3,4,80,0,1,4,3,1,0,1,0
